original_column,canonical_column
G D Goenka World School,G D Goenka World School
GD Goenka World School,G D Goenka World School
GD Goenka,GD Goenka
GD Goenka High School,GD Goenka High School
GD Goenka Public School,GD Goenka Public School
GD Goenka School,GD Goenka School
GD Goenka Signature School,GD Goenka Signature School
"GD Goenka University, Gurugram","GD Goenka University, Gurugram"
Gems International School,GEMS International School
GEMS International School,GEMS International School
Galleria 108 Mall,Galleria 108 Mall
Galleria Market,Galleria Market
Garhi Budhera Road,Garhi Budhera Road
Garhi Harsaru Junction,Garhi Harsaru Junction
Garhi harsaru railway station Gurgaon,Garhi harsaru railway station Gurgaon
Garima Public School,Garima Public School
Gaytri Public School,Gaytri Public School
Genesis Hospital,Genesis Hospital
Genesis Hospital Sector 84,Genesis Hospital Sector 84
Genpact Chowk Bus Stop,Genpact Chowk Bus Stop
Global City Centre Mall,Global City Centre Mall
Global Foyer Mall,Global Foyer Mall
"Global Foyer Mall,  Palam Vihar","Global Foyer Mall,  Palam Vihar"
Global Ways School,Global Ways School
Global city centre,Global city centre
Global City Centre,Global city centre
GlobalHealthcare Multispeciality,GlobalHealthcare Multispeciality
Glorious World School,Glorious World School
Golden Greens Golf & Resorts,Golden Greens Golf & Resorts
Golden Greens Golf & Resorts Limited,Golden Greens Golf & Resorts Limited
Golden Tulip Suites Gurgaon,Golden Tulip Suites Gurgaon
Golf Course Extension,Golf Course Extension
Golf Course Extension Road,Golf Course Extension Road
Golf course extension road,Golf Course Extension Road
Golf Course Extension Rd,Golf Course Extension Road
Golf Course Extn Road,Golf Course Extn Road
Golf Corse Ext. Rd.,Golf Course Extn Road
Golf Course Ext Road,Golf Course Extn Road
Golf Course Ext Rd,Golf Course Extn Road
Golf Course Rd,Golf Course Road
Golf Course Road,Golf Course Road
Golf Pavilion,Golf Pavilion
Govind Hospital,Govind Hospital
Govt. Model Sanskriti Primary School,Govt. Model Sanskriti Primary School
Govt. PG College,Govt. PG College
Grand Hyatt,Grand Hyatt
Grand Hyatt Gurgaon,Grand Hyatt Gurgaon
Green Field Public School,Green Field Public School
Green Field School,Green Field School
Green garden narsari,Green garden narsari
Greenway Hospital,Greenway Hospital
Guls' Kitchen,Guls' Kitchen
Gurgaon,Gurgaon
"Gurgaon - Delhi Expy, Sector 75A","Gurgaon - Delhi Expy, Sector 75A"
Gurgaon Dreamz Mall,Gurgaon Dreamz Mall
Gurgaon Faridabad Highway,Gurgaon Faridabad Highway
Gurgaon Gramin Bank,Gurgaon Gramin Bank
Gurgaon Old Railway Station,Gurgaon Old Railway Station
Gurgaon Railway Station,Gurgaon Railway Station
Gurgaon railway station,Gurgaon Railway Station
Gurgaon Road,Gurgaon Road
Gurgaon Toll,Gurgaon Toll
Gurjar Samrat Jaipal Khatana Marg,Gurjar Samrat Jaipal Khatana Marg
Gurugram City Bus Depot,Gurugram City Bus Depot
Gurugram Global Heights School,Gurugram Global Heights School
Gurugram Hospital,Gurugram Hospital
Gurugram Public School,Gurugram Public School
Gurugram Railway Station,Gurugram Railway Station
Gurugram Rd,Gurugram Road
Gurugram Road,Gurugram Road
Gurugram University,Gurugram University
Gurugram University Kankrola,Gurugram University Kankrola
Gurugram University Sector 87,Gurugram University Sector 87
Gurukul Preschool,Gurukul Preschool
Gyaananda School,Gyaananda School
Gyan Bharti Public School,Gyan Bharti Public School
HDFC Bank,HDFC Bank
HDFC Bank ATM,HDFC Bank ATM
HDFC bank ATM,HDFC Bank ATM
"HDFC Bank ATM, Dhunela Ghamroj","HDFC Bank ATM, Dhunela Ghamroj"
"HDFC Bank, Pataudi Rd","HDFC Bank, Pataudi Rd"
HP PETROL PUMP Unnamed Rd,HP PETROL PUMP Unnamed Rd
HP Petrol Pump,HP Petrol Pump
HSBC,HSBC
Hub 66,HUB 66
HUB 66,HUB 66
HUDA Market,HUDA Market
"HUDA Market, Sector 14","HUDA Market, Sector 14"
HUDA Mini Golf Course,HUDA Mini Golf Course
Hamoni Golf Camp,Hamoni Golf Camp
Hanuman & Shani Mandir,Hanuman & Shani Mandir
Harsaru Village Bus Stop,Harsaru Village Bus Stop
Haryana City Gas,Haryana City Gas
Hasanpur,Hasanpur
Health Care Pharmacy,Health Care Pharmacy
Health care pharmacy,Health Care Pharmacy
Heritage Intl Xperiential School,Heritage Intl Xperiential School
Heritage School,Heritage School
Heritage Village Resort & Spa,Heritage Village Resort & Spa
Heritage Xperiential Learning School,Heritage Xperiential Learning School
"Heritage Xperiential Learning, CRPF Rd","Heritage Xperiential Learning, CRPF Rd"
Heritage badminton academy,Heritage badminton academy
Heritage Badminton Academy,Heritage badminton academy
Hero Honda Chowk,Hero Honda Chowk
Holiday Inn,Holiday Inn
Holiday Inn Express Gurugram,Holiday Inn Express Gurugram
Holiday Inn Express Gurugram Sector 50,Holiday Inn Express Gurugram Sector 50
Holiday Inn Express Gurugram Sec 50,Holiday Inn Express Gurugram Sector 50
Holiday Inn Gurugram,Holiday Inn Gurugram
Holiday Inn Gurugram Sector 90,Holiday Inn Gurugram Sector 90
Holiday Inn Hotel Sector 90,Holiday Inn Hotel Sector 90
